rule_code,introduced_version,pr_number
FIX002,0.5.0,
FIX003,0.5.0,
FIX004,0.5.0,
FLY002,0.5.0,
FURB101,0.5.0,
FURB103,0.5.0,
FURB105,0.5.0,
FURB110,0.5.0,
FURB113,0.5.0,
FURB116,0.5.0,
FURB118,0.5.0,
FURB122,0.9.3,
FURB129,0.5.0,
FURB131,0.5.0,
FURB132,0.5.0,
FURB136,0.5.0,
FURB140,0.5.0,
FURB142,0.5.0,
FURB145,0.5.0,
FURB148,0.5.0,
FURB152,0.5.0,
FURB154,0.5.0,
FURB156,0.7.0,
FURB157,0.5.0,
FURB161,0.5.0,
FURB162,0.9.7,
FURB163,0.5.0,
FURB164,0.5.0,
FURB166,0.5.0,
FURB167,0.5.0,
FURB168,0.5.0,
FURB169,0.5.0,
FURB171,0.5.0,
FURB177,0.5.0,
FURB180,0.5.0,
FURB181,0.5.0,
FURB187,0.5.0,
FURB188,0.6.5,
FURB189,0.7.3,
FURB192,0.5.0,
G001,0.5.0,
G002,0.5.0,
G003,0.5.0,
G004,0.5.0,
G010,0.5.0,
G101,0.5.0,
G201,0.5.0,
G202,0.5.0,
I001,0.5.0,
I002,0.5.0,
ICN001,0.5.0,
ICN002,0.5.0,
ICN003,0.5.0,
INP001,0.5.0,
INT001,0.5.0,
INT002,0.5.0,
INT003,0.5.0,
ISC001,0.5.0,
ISC002,0.5.0,
ISC003,0.5.0,
LOG001,0.5.0,
LOG002,0.5.0,
LOG004,0.9.5,
LOG007,0.5.0,
LOG009,0.5.0,
LOG014,0.9.5,
LOG015,0.7.4,
N801,0.5.0,
N802,0.5.0,
N803,0.5.0,
N804,0.5.0,
N805,0.5.0,
N806,0.5.0,
N807,0.5.0,
N811,0.5.0,
N812,0.5.0,
N813,0.5.0,
N814,0.5.0,
N815,0.5.0,
N816,0.5.0,
N817,0.5.0,
N818,0.5.0,
N999,0.5.0,
NPY001,0.5.0,
NPY002,0.5.0,
NPY003,0.5.0,
NPY201,0.5.0,
PD002,0.5.0,
PD003,0.5.0,
PD004,0.5.0,
PD007,0.5.0,
PD008,0.5.0,
PD009,0.5.0,
PD010,0.5.0,
PD011,0.5.0,
PD012,0.5.0,
PD013,0.5.0,
PD015,0.5.0,
PD101,0.5.0,
PD901,0.5.0,
PERF101,0.5.0,
PERF102,0.5.0,
PERF203,0.5.0,
PERF401,0.5.0,
PERF402,0.5.0,
PERF403,0.5.0,
PGH001,0.5.0,
PGH002,0.5.0,
PGH003,0.5.0,
PGH004,0.5.0,
PGH005,0.5.0,
PIE790,0.5.0,
PIE794,0.5.0,
PIE796,0.5.0,
PIE800,0.5.0,
PIE804,0.5.0,
PIE807,0.5.0,
PIE808,0.5.0,
PIE810,0.5.0,
PLC0105,0.5.0,
PLC0131,0.5.0,
PLC0132,0.5.0,
PLC0205,0.5.0,
PLC0206,0.5.0,
PLC0207,0.11.12,
PLC0208,0.5.0,
PLC0414,0.5.0,
PLC0415,0.5.0,
PLC1802,0.8.1,
PLC1901,0.5.0,
PLC2401,0.5.0,
PLC2403,0.5.0,
PLC2701,0.5.0,
PLC2801,0.5.0,
PLC3002,0.5.0,
PLE0100,0.5.0,
PLE0101,0.5.0,
PLE0115,0.5.0,
PLE0116,0.5.0,
PLE0117,0.5.0,
PLE0118,0.5.0,
PLE0237,0.5.0,
PLE0241,0.5.0,
PLE0302,0.5.0,
PLE0303,0.5.0,
PLE0304,0.5.0,
PLE0305,0.5.0,
PLE0307,0.5.0,
PLE0308,0.5.0,
PLE0309,0.5.0,
PLE0604,0.5.0,
PLE0605,0.5.0,
PLE0643,0.5.0,
PLE0704,0.5.0,
PLE1132,0.5.0,
